State,City,Locality,Property_Type,BHK,Size_in_SqFt,Price_in_Lakhs,Price_per_SqFt,Year_Built,Furnished_Status,Floor_No,Total_Floors,Age_of_Property,Nearby_Schools,Nearby_Hospitals,Public_Transport_Accessibility,Parking_Space,Security,Amenities,Facing,Owner_Type,Availability_Status,Amenities_Count,Floor_Ratio,Good_Investment
Kerala,Kochi,Locality_74,Apartment,2,4714,90.66,0.02,2011,Unfurnished,3,10,15,1,1,3,1,1,"Clubhouse, Gym, Playground, Pool, Garden",West,Builder,Under_Construction,5,0.3,1
Bihar,Gaya,Locality_366,Apartment,5,3272,34.25,0.01,1992,Semi-furnished,9,10,34,7,5,1,1,0,Clubhouse,North,Broker,Ready_to_Move,1,0.9,0
Uttar Pradesh,Noida,Locality_129,Villa,4,1390,280.54,0.2,1990,Semi-furnished,4,21,36,9,4,2,0,0,"Gym, Clubhouse, Playground, Pool, Garden",South,Owner,Ready_to_Move,5,0.19047619047619047,0
Uttar Pradesh,Lucknow,Locality_230,Apartment,4,1594,150.43,0.09,2016,Unfurnished,9,26,10,1,9,3,0,0,"Pool, Clubhouse, Garden",South,Broker,Ready_to_Move,3,0.34615384615384615,0
Bihar,Gaya,Locality_391,Independent House,3,4201,59.24,0.01,2017,Furnished,18,24,9,8,6,1,1,0,"Pool, Garden, Clubhouse, Playground",South,Owner,Ready_to_Move,4,0.75,0
Delhi,Dwarka,Locality_113,Independent House,2,4201,212.44,0.05,2007,Semi-furnished,10,17,19,10,3,2,0,1,Garden,West,Builder,Under_Construction,1,0.5882352941176471,0
Punjab,Amritsar,Locality_174,Apartment,5,2229,215.61,0.1,2011,Unfurnished,2,19,15,1,5,2,0,1,"Pool, Garden, Gym",North,Builder,Under_Construction,3,0.10526315789473684,0
Delhi,Dwarka,Locality_388,Independent House,3,1030,116.55,0.11,2010,Furnished,5,29,16,3,6,3,0,1,"Gym, Pool",West,Broker,Ready_to_Move,2,0.1724137931034483,0
Jharkhand,Jamshedpur,Locality_62,Independent House,5,3691,245.85,0.07,1995,Semi-furnished,1,24,31,5,2,3,0,1,"Clubhouse, Garden",South,Owner,Under_Construction,2,0.041666666666666664,0
Maharashtra,Pune,Locality_496,Independent House,2,4329,36.57,0.01,2011,Unfurnished,13,18,15,9,3,1,0,1,"Garden, Pool",South,Broker,Under_Construction,2,0.7222222222222222,0
Haryana,Gurgaon,Locality_420,Independent House,2,4785,22.32,0.0,2022,Unfurnished,5,24,4,1,9,2,1,1,"Playground, Gym",North,Builder,Ready_to_Move,2,0.20833333333333334,0
Karnataka,Mysore,Locality_388,Villa,3,2083,268.28,0.13,1999,Semi-furnished,15,22,27,3,2,3,0,1,"Clubhouse, Garden, Pool, Gym, Playground",North,Builder,Ready_to_Move,5,0.6818181818181818,0
Odisha,Cuttack,Locality_465,Apartment,1,1048,139.33,0.13,1994,Semi-furnished,11,21,32,2,6,1,1,0,"Pool, Clubhouse, Garden, Playground",East,Owner,Under_Construction,4,0.5238095238095238,0
Maharashtra,Nagpur,Locality_210,Apartment,5,4360,443.16,0.1,2010,Furnished,14,17,16,9,10,3,1,0,"Gym, Clubhouse, Pool, Garden",East,Owner,Ready_to_Move,4,0.8235294117647058,0
Maharashtra,Mumbai,Locality_348,Independent House,3,2493,241.33,0.1,1997,Furnished,8,23,29,4,2,1,1,1,"Clubhouse, Pool",South,Builder,Under_Construction,2,0.34782608695652173,0
Tamil Nadu,Chennai,Locality_185,Apartment,5,3529,381.55,0.11,2004,Furnished,3,28,22,8,2,2,1,0,Clubhouse,West,Broker,Ready_to_Move,1,0.10714285714285714,0
Odisha,Cuttack,Locality_26,Apartment,2,2107,314.25,0.15,1998,Furnished,6,7,28,7,9,3,0,0,"Playground, Clubhouse, Pool, Gym",East,Builder,Ready_to_Move,4,0.8571428571428571,0
Bihar,Gaya,Locality_441,Villa,5,3843,213.46,0.06,2020,Furnished,0,10,6,5,5,3,1,0,"Garden, Playground, Clubhouse",South,Builder,Ready_to_Move,3,0.0,1
Uttar Pradesh,Lucknow,Locality_245,Independent House,1,2149,133.01,0.06,2016,Unfurnished,6,28,10,1,9,1,0,0,"Playground, Gym, Pool, Clubhouse, Garden",North,Owner,Ready_to_Move,5,0.21428571428571427,0
Karnataka,Mangalore,Locality_44,Villa,1,4960,493.44,0.1,2000,Unfurnished,19,30,26,3,5,2,1,0,"Clubhouse, Garden, Pool, Playground, Gym",West,Owner,Under_Construction,5,0.6333333333333333,0
Tamil Nadu,Coimbatore,Locality_257,Villa,4,2418,133.1,0.06,2002,Unfurnished,11,16,24,10,10,3,1,0,"Garden, Pool, Gym",East,Builder,Ready_to_Move,3,0.6875,1
Tamil Nadu,Chennai,Locality_311,Independent House,4,1934,457.49,0.24,1994,Semi-furnished,13,13,32,9,4,1,1,0,"Playground, Clubhouse, Garden, Gym",North,Broker,Ready_to_Move,4,1.0,0
West Bengal,Durgapur,Locality_259,Independent House,1,4828,413.56,0.09,1993,Unfurnished,9,26,33,4,10,2,1,0,"Playground, Pool",West,Builder,Ready_to_Move,2,0.34615384615384615,0
Bihar,Patna,Locality_470,Villa,1,3252,241.68,0.07,2008,Furnished,14,29,18,5,3,3,1,1,"Playground, Clubhouse, Garden",South,Owner,Under_Construction,3,0.4827586206896552,1
Chhattisgarh,Bilaspur,Locality_191,Apartment,1,4498,152.36,0.03,1997,Furnished,25,25,29,10,2,2,1,1,"Gym, Clubhouse, Pool, Playground",East,Broker,Ready_to_Move,4,1.0,1
Assam,Guwahati,Locality_254,Apartment,2,2612,241.06,0.09,2012,Unfurnished,6,22,14,4,8,2,1,1,Playground,North,Builder,Under_Construction,1,0.2727272727272727,0
Gujarat,Surat,Locality_417,Independent House,2,4874,466.87,0.1,1994,Semi-furnished,19,20,32,5,6,2,1,1,"Gym, Playground, Clubhouse, Pool, Garden",North,Owner,Ready_to_Move,5,0.95,0
Jharkhand,Jamshedpur,Locality_200,Villa,4,4364,265.57,0.06,2009,Semi-furnished,14,16,17,4,8,3,0,1,Playground,North,Owner,Under_Construction,1,0.875,0
Punjab,Amritsar,Locality_146,Villa,2,2711,105.61,0.04,2015,Furnished,19,20,11,5,4,1,1,1,"Gym, Pool, Clubhouse, Garden, Playground",North,Owner,Under_Construction,5,0.95,0
Jharkhand,Ranchi,Locality_107,Independent House,3,4130,25.71,0.01,2007,Unfurnished,11,21,19,8,10,2,1,1,"Playground, Clubhouse, Pool, Garden, Gym",South,Builder,Under_Construction,5,0.5238095238095238,1
Haryana,Faridabad,Locality_12,Independent House,1,4089,220.5,0.05,2017,Furnished,26,30,9,4,3,1,1,0,"Playground, Gym, Clubhouse, Garden, Pool",West,Owner,Under_Construction,5,0.8666666666666667,0
Kerala,Kochi,Locality_359,Apartment,1,4757,363.46,0.08,2015,Furnished,15,15,11,1,3,2,0,1,Playground,South,Owner,Under_Construction,1,1.0,0
Andhra Pradesh,Vishakhapatnam,Locality_488,Independent House,2,2846,148.15,0.05,1991,Unfurnished,27,27,35,10,2,3,1,0,"Clubhouse, Gym",West,Owner,Ready_to_Move,2,1.0,0
Karnataka,Bangalore,Locality_115,Independent House,2,2321,334.7,0.14,2021,Semi-furnished,4,26,5,4,4,3,0,0,"Gym, Garden, Pool, Playground",East,Broker,Ready_to_Move,4,0.15384615384615385,0
Bihar,Gaya,Locality_397,Villa,4,3488,488.16,0.14,2008,Unfurnished,16,17,18,5,8,3,0,0,"Playground, Gym, Clubhouse, Pool, Garden",East,Builder,Ready_to_Move,5,0.9411764705882353,0
Kerala,Trivandrum,Locality_184,Independent House,4,4655,419.4,0.09,2005,Furnished,15,19,21,5,1,1,1,0,"Playground, Gym, Pool",West,Broker,Ready_to_Move,3,0.7894736842105263,0
Delhi,Dwarka,Locality_383,Villa,3,2017,320.38,0.16,1994,Semi-furnished,8,8,32,4,5,2,0,1,"Gym, Garden, Playground",West,Builder,Under_Construction,3,1.0,0
Telangana,Warangal,Locality_73,Apartment,4,2685,244.51,0.09,2022,Unfurnished,20,24,4,1,7,1,0,1,"Gym, Garden, Clubhouse",North,Owner,Ready_to_Move,3,0.8333333333333334,0
Gujarat,Surat,Locality_101,Villa,4,2702,408.12,0.15,2003,Semi-furnished,21,27,23,8,5,1,1,0,"Garden, Gym, Pool, Playground, Clubhouse",East,Broker,Under_Construction,5,0.7777777777777778,0
Delhi,Dwarka,Locality_81,Villa,5,4487,47.36,0.01,2022,Semi-furnished,9,12,4,4,3,1,1,0,Clubhouse,West,Broker,Ready_to_Move,1,0.75,0
Tamil Nadu,Coimbatore,Locality_488,Apartment,4,953,205.79,0.22,1996,Unfurnished,2,22,30,7,3,2,0,0,"Pool, Clubhouse, Garden, Playground, Gym",North,Broker,Under_Construction,5,0.09090909090909091,0
Andhra Pradesh,Vishakhapatnam,Locality_298,Villa,4,1110,131.47,0.12,2021,Semi-furnished,6,9,5,5,2,2,0,0,"Clubhouse, Garden, Pool",North,Owner,Ready_to_Move,3,0.6666666666666666,0
Telangana,Warangal,Locality_334,Independent House,5,4204,33.37,0.01,2013,Furnished,24,27,13,5,6,2,0,0,"Garden, Playground, Clubhouse, Gym",East,Owner,Under_Construction,4,0.8888888888888888,1
Punjab,Ludhiana,Locality_358,Villa,5,1363,98.31,0.07,1996,Semi-furnished,5,17,30,1,4,2,1,1,"Garden, Playground",East,Builder,Ready_to_Move,2,0.29411764705882354,0
Assam,Silchar,Locality_13,Independent House,2,3547,293.42,0.08,2022,Furnished,6,28,4,9,8,2,1,0,"Playground, Garden, Clubhouse, Pool",East,Owner,Ready_to_Move,4,0.21428571428571427,1
Karnataka,Mangalore,Locality_266,Villa,4,4036,157.17,0.04,2018,Furnished,10,28,8,10,3,1,1,0,Gym,North,Owner,Ready_to_Move,1,0.35714285714285715,0
Telangana,Warangal,Locality_389,Villa,5,3202,345.24,0.11,2000,Unfurnished,21,23,26,5,6,3,0,0,"Pool, Playground, Garden, Clubhouse, Gym",West,Owner,Under_Construction,5,0.9130434782608695,0
West Bengal,Kolkata,Locality_332,Independent House,3,2257,466.66,0.21,1996,Unfurnished,2,19,30,10,6,1,1,0,"Clubhouse, Playground, Garden, Gym, Pool",North,Broker,Ready_to_Move,5,0.10526315789473684,0
Delhi,New Delhi,Locality_337,Villa,1,3775,168.36,0.04,2017,Unfurnished,9,10,9,8,1,1,1,0,"Pool, Garden, Clubhouse, Gym",South,Broker,Ready_to_Move,4,0.9,0
Assam,Silchar,Locality_206,Apartment,1,1069,51.07,0.05,2023,Furnished,16,23,3,1,1,3,1,0,"Garden, Clubhouse, Gym",West,Builder,Ready_to_Move,3,0.6956521739130435,1
Andhra Pradesh,Vishakhapatnam,Locality_126,Apartment,1,553,13.6,0.02,1992,Furnished,8,13,34,5,10,1,1,1,"Clubhouse, Playground, Pool, Garden",South,Owner,Under_Construction,4,0.6153846153846154,0
Karnataka,Mangalore,Locality_281,Apartment,1,1387,13.76,0.01,1993,Semi-furnished,15,22,33,5,10,1,1,1,"Pool, Playground, Gym, Clubhouse, Garden",South,Owner,Under_Construction,5,0.6818181818181818,0
Tamil Nadu,Chennai,Locality_167,Apartment,2,2649,197.09,0.07,1990,Unfurnished,7,10,36,5,1,2,1,1,"Gym, Pool, Garden",East,Owner,Ready_to_Move,3,0.7,1
West Bengal,Durgapur,Locality_414,Independent House,4,2840,134.69,0.05,2005,Semi-furnished,3,9,21,3,1,3,0,0,"Playground, Garden, Pool, Gym, Clubhouse",East,Owner,Ready_to_Move,5,0.3333333333333333,1
Telangana,Warangal,Locality_248,Apartment,3,4918,72.68,0.01,2012,Semi-furnished,10,23,14,1,7,1,1,1,"Playground, Pool, Clubhouse, Gym, Garden",South,Owner,Under_Construction,5,0.43478260869565216,0
Andhra Pradesh,Vijayawada,Locality_180,Independent House,2,4543,143.82,0.03,2018,Unfurnished,4,11,8,7,3,3,1,0,Gym,West,Owner,Ready_to_Move,1,0.36363636363636365,0
Haryana,Gurgaon,Locality_456,Independent House,3,3028,382.18,0.13,2000,Semi-furnished,12,22,26,2,2,2,1,0,"Gym, Pool",North,Builder,Ready_to_Move,2,0.5454545454545454,0
Odisha,Cuttack,Locality_26,Independent House,2,2134,354.2,0.17,2012,Semi-furnished,0,19,14,4,7,1,0,0,"Pool, Clubhouse, Gym, Playground, Garden",South,Builder,Under_Construction,5,0.0,0
Punjab,Ludhiana,Locality_23,Independent House,2,1393,403.33,0.29,2014,Unfurnished,5,5,12,2,2,2,1,0,"Pool, Gym, Clubhouse, Playground, Garden",North,Builder,Ready_to_Move,5,1.0,0
Telangana,Warangal,Locality_167,Independent House,2,3004,116.09,0.04,1993,Unfurnished,22,30,33,1,8,3,1,0,"Playground, Pool, Garden, Gym",East,Broker,Ready_to_Move,4,0.7333333333333333,1
Haryana,Gurgaon,Locality_303,Villa,1,3217,317.65,0.1,2005,Semi-furnished,18,22,21,2,2,3,1,1,"Garden, Gym",South,Owner,Ready_to_Move,2,0.8181818181818182,0
Telangana,Hyderabad,Locality_99,Villa,4,2701,337.47,0.12,2013,Furnished,4,16,13,2,8,3,1,0,Gym,East,Broker,Ready_to_Move,1,0.25,0
Karnataka,Mysore,Locality_146,Independent House,1,1413,307.6,0.22,1996,Furnished,7,21,30,5,8,3,1,1,"Playground, Pool, Gym",East,Builder,Ready_to_Move,3,0.3333333333333333,0
Haryana,Faridabad,Locality_112,Villa,3,2751,103.55,0.04,2007,Furnished,8,22,19,5,7,1,0,0,Pool,North,Broker,Under_Construction,1,0.36363636363636365,0
Kerala,Trivandrum,Locality_490,Villa,2,3694,497.44,0.13,2001,Unfurnished,15,18,25,10,1,3,1,0,"Playground, Pool, Gym, Clubhouse, Garden",North,Owner,Under_Construction,5,0.8333333333333334,0
Tamil Nadu,Coimbatore,Locality_188,Villa,3,1496,429.99,0.29,2004,Semi-furnished,4,4,22,2,5,2,1,0,"Playground, Pool",North,Builder,Ready_to_Move,2,1.0,0
Tamil Nadu,Chennai,Locality_419,Apartment,3,4673,312.19,0.07,2022,Furnished,1,20,4,8,10,1,0,1,"Garden, Pool, Gym",South,Owner,Ready_to_Move,3,0.05,0
Tamil Nadu,Coimbatore,Locality_94,Apartment,5,2880,43.6,0.02,1997,Furnished,14,24,29,1,5,2,0,1,"Pool, Garden, Gym, Playground, Clubhouse",South,Builder,Under_Construction,5,0.5833333333333334,1
Tamil Nadu,Coimbatore,Locality_325,Apartment,2,2939,259.68,0.09,1992,Furnished,4,15,34,3,5,1,0,1,"Clubhouse, Playground",North,Broker,Under_Construction,2,0.26666666666666666,0
Odisha,Cuttack,Locality_381,Apartment,3,532,152.42,0.29,1992,Unfurnished,22,24,34,4,2,3,0,0,"Playground, Garden, Clubhouse, Gym, Pool",North,Builder,Ready_to_Move,5,0.9166666666666666,0
Jharkhand,Jamshedpur,Locality_295,Independent House,1,3068,148.77,0.05,2008,Unfurnished,12,14,18,3,4,3,0,0,"Gym, Playground, Pool, Clubhouse, Garden",North,Broker,Under_Construction,5,0.8571428571428571,1
Bihar,Gaya,Locality_170,Villa,5,2546,132.48,0.05,2009,Furnished,11,28,17,9,9,3,0,0,"Garden, Pool, Gym, Clubhouse, Playground",North,Broker,Under_Construction,5,0.39285714285714285,1
Andhra Pradesh,Vishakhapatnam,Locality_411,Villa,3,1439,224.48,0.16,2015,Semi-furnished,3,10,11,5,8,2,0,1,Gym,North,Owner,Ready_to_Move,1,0.3,0
Karnataka,Bangalore,Locality_372,Villa,1,3603,341.37,0.09,2006,Unfurnished,7,26,20,2,1,2,1,0,"Clubhouse, Gym, Playground",North,Owner,Under_Construction,3,0.2692307692307692,0
Tamil Nadu,Chennai,Locality_131,Independent House,3,1717,391.3,0.23,2021,Furnished,16,16,5,1,6,3,0,0,"Clubhouse, Playground, Pool, Garden",South,Builder,Under_Construction,4,1.0,0
Chhattisgarh,Bilaspur,Locality_331,Villa,5,2975,167.86,0.06,2022,Semi-furnished,26,27,4,10,10,1,1,0,"Gym, Garden, Clubhouse, Playground, Pool",West,Broker,Ready_to_Move,5,0.9629629629629629,0
Assam,Guwahati,Locality_35,Apartment,2,4456,87.98,0.02,2004,Furnished,0,2,22,1,6,3,0,1,"Clubhouse, Pool, Garden, Gym, Playground",East,Builder,Under_Construction,5,0.0,1
Rajasthan,Jaipur,Locality_390,Villa,2,2906,183.19,0.06,1995,Furnished,13,20,31,1,3,3,1,0,"Pool, Garden, Playground, Gym",South,Broker,Ready_to_Move,4,0.65,1
Punjab,Ludhiana,Locality_272,Independent House,5,1404,201.64,0.14,2023,Semi-furnished,26,30,3,7,9,3,0,0,"Gym, Pool, Garden",South,Broker,Under_Construction,3,0.8666666666666667,0
Tamil Nadu,Coimbatore,Locality_421,Apartment,1,2648,193.25,0.07,2005,Unfurnished,0,11,21,1,2,3,0,0,"Playground, Clubhouse, Garden",West,Builder,Under_Construction,3,0.0,1
Haryana,Gurgaon,Locality_231,Independent House,3,2056,11.99,0.01,2015,Semi-furnished,3,29,11,2,8,2,0,0,"Clubhouse, Playground, Gym, Garden",South,Builder,Under_Construction,4,0.10344827586206896,1
Punjab,Ludhiana,Locality_23,Independent House,2,2447,251.73,0.1,2013,Semi-furnished,12,26,13,1,2,2,1,0,"Pool, Playground, Garden",West,Builder,Under_Construction,3,0.46153846153846156,0
Kerala,Trivandrum,Locality_312,Independent House,1,1823,359.15,0.2,2005,Unfurnished,14,28,21,10,10,3,0,0,"Clubhouse, Gym",North,Builder,Under_Construction,2,0.5,0
Kerala,Trivandrum,Locality_46,Villa,2,4349,148.27,0.03,2008,Unfurnished,16,17,18,4,4,3,0,0,Playground,West,Owner,Ready_to_Move,1,0.9411764705882353,0
Rajasthan,Jaipur,Locality_166,Villa,4,3739,97.59,0.03,2018,Unfurnished,1,30,8,1,7,3,1,0,"Playground, Garden, Clubhouse, Pool",East,Owner,Under_Construction,4,0.03333333333333333,1
Rajasthan,Jodhpur,Locality_386,Apartment,2,3285,91.67,0.03,2007,Unfurnished,13,21,19,7,10,2,0,1,"Gym, Garden",West,Builder,Ready_to_Move,2,0.6190476190476191,0
Rajasthan,Jodhpur,Locality_490,Apartment,3,3065,213.42,0.07,2013,Furnished,19,27,13,10,8,3,0,0,"Playground, Garden, Clubhouse",North,Builder,Under_Construction,3,0.7037037037037037,1
Madhya Pradesh,Bhopal,Locality_74,Apartment,4,3306,181.44,0.05,2016,Semi-furnished,1,25,10,1,2,1,0,1,"Gym, Garden",West,Owner,Under_Construction,2,0.04,0
Uttarakhand,Dehradun,Locality_196,Apartment,5,2141,464.01,0.22,1999,Furnished,23,25,27,3,10,2,0,0,"Gym, Playground, Pool, Garden",West,Broker,Ready_to_Move,4,0.92,0
Odisha,Bhubaneswar,Locality_380,Villa,5,1681,18.2,0.01,2012,Semi-furnished,9,19,14,10,1,1,0,1,"Pool, Garden, Playground, Clubhouse",West,Owner,Under_Construction,4,0.47368421052631576,0
Rajasthan,Jaipur,Locality_299,Apartment,4,1129,163.92,0.15,2006,Furnished,4,25,20,9,9,3,1,1,"Gym, Pool, Garden, Clubhouse, Playground",South,Broker,Under_Construction,5,0.16,0
Telangana,Warangal,Locality_438,Apartment,2,2937,99.61,0.03,1992,Unfurnished,8,16,34,10,7,1,0,0,"Clubhouse, Playground, Pool, Gym, Garden",East,Broker,Under_Construction,5,0.5,0
Uttarakhand,Haridwar,Locality_77,Villa,5,2892,360.28,0.12,1996,Furnished,14,25,30,1,3,1,0,0,"Gym, Pool, Playground, Clubhouse",South,Builder,Ready_to_Move,4,0.56,0
Odisha,Bhubaneswar,Locality_197,Villa,5,2376,318.05,0.13,2021,Unfurnished,1,17,5,5,2,3,1,1,"Playground, Gym, Garden, Pool, Clubhouse",South,Builder,Under_Construction,5,0.058823529411764705,0
Karnataka,Mysore,Locality_208,Villa,5,4535,191.06,0.04,2018,Semi-furnished,15,22,8,3,2,3,1,1,"Garden, Clubhouse, Pool, Playground",North,Broker,Under_Construction,4,0.6818181818181818,1
Tamil Nadu,Coimbatore,Locality_277,Villa,2,2189,150.71,0.07,2002,Unfurnished,0,19,24,3,6,1,1,0,"Pool, Playground, Clubhouse",South,Owner,Ready_to_Move,3,0.0,0
Telangana,Hyderabad,Locality_497,Independent House,2,1295,206.59,0.16,2012,Semi-furnished,12,21,14,5,2,3,1,1,"Gym, Clubhouse, Garden, Pool, Playground",West,Builder,Ready_to_Move,5,0.5714285714285714,0
Rajasthan,Jaipur,Locality_118,Independent House,2,4372,434.48,0.1,2021,Semi-furnished,14,27,5,1,2,1,0,1,"Garden, Playground",East,Owner,Ready_to_Move,2,0.5185185185185185,0
Maharashtra,Pune,Locality_195,Villa,4,992,263.6,0.27,2010,Semi-furnished,15,17,16,4,10,2,0,0,"Playground, Clubhouse",North,Broker,Ready_to_Move,2,0.8823529411764706,0
Jharkhand,Ranchi,Locality_321,Apartment,4,4596,342.73,0.07,2010,Unfurnished,23,29,16,5,10,3,0,1,Clubhouse,South,Builder,Under_Construction,1,0.7931034482758621,0
Uttar Pradesh,Lucknow,Locality_337,Independent House,3,4372,286.72,0.07,2019,Unfurnished,6,7,7,10,5,2,0,0,"Gym, Clubhouse, Pool, Playground, Garden",North,Owner,Under_Construction,5,0.8571428571428571,1
Odisha,Cuttack,Locality_265,Apartment,1,2778,472.85,0.17,2003,Furnished,5,10,23,3,1,3,0,0,"Gym, Pool, Playground, Garden",West,Owner,Under_Construction,4,0.5,0
Maharashtra,Nagpur,Locality_495,Villa,3,4821,205.27,0.04,2016,Furnished,22,24,10,10,7,2,0,0,Garden,North,Builder,Ready_to_Move,1,0.9166666666666666,0
Delhi,New Delhi,Locality_387,Independent House,5,4644,324.93,0.07,2007,Semi-furnished,15,27,19,8,2,2,1,1,"Playground, Gym, Clubhouse, Garden",South,Owner,Ready_to_Move,4,0.5555555555555556,1
Uttarakhand,Haridwar,Locality_38,Independent House,3,2075,432.6,0.21,2001,Semi-furnished,26,29,25,6,9,2,0,0,"Gym, Clubhouse, Playground, Pool, Garden",East,Owner,Under_Construction,5,0.896551724137931,0
Chhattisgarh,Bilaspur,Locality_390,Villa,1,2511,115.55,0.05,2006,Furnished,9,27,20,10,9,2,0,0,"Pool, Garden, Playground",East,Broker,Under_Construction,3,0.3333333333333333,1
Jharkhand,Jamshedpur,Locality_438,Independent House,4,1087,182.48,0.17,1998,Unfurnished,28,30,28,3,7,1,1,1,"Garden, Gym",West,Owner,Under_Construction,2,0.9333333333333333,0
Punjab,Ludhiana,Locality_379,Independent House,2,4488,87.53,0.02,1996,Unfurnished,23,24,30,9,10,3,0,1,"Clubhouse, Playground, Garden, Pool",East,Builder,Under_Construction,4,0.9583333333333334,1
Maharashtra,Nagpur,Locality_44,Apartment,4,3488,419.03,0.12,1993,Semi-furnished,4,28,33,6,9,1,1,0,"Pool, Clubhouse, Gym",West,Builder,Under_Construction,3,0.14285714285714285,0
Uttarakhand,Haridwar,Locality_163,Independent House,1,2257,481.33,0.21,2009,Furnished,13,30,17,4,10,3,0,0,Gym,East,Builder,Under_Construction,1,0.43333333333333335,0
Madhya Pradesh,Indore,Locality_248,Independent House,1,1868,73.65,0.04,1991,Semi-furnished,24,28,35,3,3,1,1,1,"Clubhouse, Playground",West,Owner,Under_Construction,2,0.8571428571428571,0
Gujarat,Surat,Locality_410,Apartment,1,4958,462.72,0.09,2004,Semi-furnished,12,18,22,9,5,3,1,1,"Clubhouse, Pool, Playground",North,Broker,Under_Construction,3,0.6666666666666666,0
Jharkhand,Ranchi,Locality_108,Apartment,5,3236,33.08,0.01,1992,Semi-furnished,5,12,34,4,4,2,1,1,"Playground, Garden, Gym, Clubhouse, Pool",North,Owner,Ready_to_Move,5,0.4166666666666667,1
Haryana,Gurgaon,Locality_3,Apartment,4,3077,78.46,0.03,2015,Furnished,23,29,11,3,8,2,1,0,"Pool, Gym",East,Owner,Under_Construction,2,0.7931034482758621,0
Madhya Pradesh,Bhopal,Locality_275,Apartment,1,3101,306.29,0.1,2022,Unfurnished,25,29,4,3,9,1,1,1,Gym,East,Builder,Ready_to_Move,1,0.8620689655172413,0
Karnataka,Bangalore,Locality_174,Independent House,1,4657,217.0,0.05,2020,Furnished,9,13,6,1,6,3,1,1,"Playground, Garden, Gym, Pool, Clubhouse",West,Owner,Under_Construction,5,0.6923076923076923,1
Uttarakhand,Haridwar,Locality_7,Villa,5,2703,219.09,0.08,1990,Semi-furnished,19,25,36,7,2,3,0,1,Pool,West,Builder,Under_Construction,1,0.76,0
Madhya Pradesh,Indore,Locality_349,Villa,4,3663,27.41,0.01,2016,Furnished,3,27,10,1,10,3,1,0,"Pool, Gym, Garden",North,Owner,Ready_to_Move,3,0.1111111111111111,1
Odisha,Bhubaneswar,Locality_384,Villa,1,1869,177.3,0.09,1997,Furnished,26,30,29,4,4,3,1,1,"Playground, Pool, Gym",West,Builder,Under_Construction,3,0.8666666666666667,0
Delhi,New Delhi,Locality_175,Apartment,5,3007,275.87,0.09,1992,Semi-furnished,27,29,34,9,8,2,0,0,"Garden, Clubhouse",West,Owner,Ready_to_Move,2,0.9310344827586207,0
West Bengal,Durgapur,Locality_71,Apartment,1,3235,123.92,0.04,1994,Unfurnished,12,13,32,3,1,2,0,0,"Playground, Garden, Pool",North,Builder,Under_Construction,3,0.9230769230769231,1
Andhra Pradesh,Vishakhapatnam,Locality_86,Apartment,5,3648,425.98,0.12,2022,Semi-furnished,6,14,4,4,5,1,0,1,"Pool, Gym, Clubhouse",East,Owner,Under_Construction,3,0.42857142857142855,0
Andhra Pradesh,Vishakhapatnam,Locality_322,Villa,5,1577,223.24,0.14,1992,Unfurnished,9,17,34,8,3,2,1,0,"Playground, Garden, Clubhouse",West,Builder,Under_Construction,3,0.5294117647058824,0
Andhra Pradesh,Vijayawada,Locality_231,Independent House,3,2931,223.83,0.08,2012,Unfurnished,6,24,14,7,10,3,0,0,Pool,West,Owner,Ready_to_Move,1,0.25,0
Uttar Pradesh,Lucknow,Locality_399,Villa,1,3430,243.39,0.07,1999,Semi-furnished,0,6,27,4,8,2,1,0,"Clubhouse, Pool, Playground, Gym, Garden",West,Builder,Under_Construction,5,0.0,1
Uttarakhand,Haridwar,Locality_390,Independent House,2,772,223.52,0.29,2019,Unfurnished,10,28,7,6,8,3,1,0,"Clubhouse, Playground, Gym, Garden, Pool",East,Owner,Under_Construction,5,0.35714285714285715,0
Gujarat,Ahmedabad,Locality_352,Villa,1,5000,130.52,0.03,2015,Unfurnished,23,23,11,2,5,1,0,0,Garden,West,Broker,Ready_to_Move,1,1.0,0
Kerala,Kochi,Locality_282,Independent House,3,1960,38.69,0.02,2004,Semi-furnished,19,30,22,8,6,3,0,0,"Gym, Pool, Clubhouse",North,Broker,Ready_to_Move,3,0.6333333333333333,1
Delhi,Dwarka,Locality_278,Villa,5,2424,135.53,0.06,2005,Semi-furnished,23,27,21,7,8,1,1,0,Garden,South,Builder,Ready_to_Move,1,0.8518518518518519,0
Telangana,Hyderabad,Locality_250,Independent House,2,3544,357.86,0.1,2020,Unfurnished,14,18,6,10,10,1,1,0,"Playground, Clubhouse, Gym",East,Broker,Ready_to_Move,3,0.7777777777777778,0
Tamil Nadu,Chennai,Locality_318,Villa,3,2166,75.31,0.03,1991,Furnished,25,26,35,6,7,3,1,0,Playground,North,Builder,Under_Construction,1,0.9615384615384616,0
Delhi,Dwarka,Locality_307,Apartment,4,3805,155.4,0.04,2006,Furnished,10,14,20,6,10,1,0,0,"Playground, Garden, Clubhouse, Gym",North,Broker,Under_Construction,4,0.7142857142857143,0
Uttarakhand,Haridwar,Locality_340,Apartment,2,4858,25.82,0.01,2023,Unfurnished,11,27,3,2,7,2,1,1,Playground,East,Builder,Ready_to_Move,1,0.4074074074074074,0
